year,week,home_team,away_team,pred_diff,actual_diff,error,abs_error,home_rating,away_rating,hfa
2021,4,Western Michigan,San José State,6.239645979378654,20,-13.760354020621346,13.760354020621346,-0.044001096683619206,-0.1267625510414472,6.156884525020826
2021,4,Ball State,Toledo,6.0303876537049215,-10,16.03038765370492,16.03038765370492,-0.3280153590728598,-0.20151848775695547,6.156884525020826
2021,4,Eastern Michigan,Texas State,5.786245911026633,38,-32.21375408897337,32.21375408897337,-0.5478692726103339,-0.17723065861614146,6.156884525020826
2021,4,Northern Illinois,Maine,5.996217196095313,27,-21.003782803904688,21.003782803904688,-0.1606673289255125,0.0,6.156884525020826
2021,4,Utah,Washington State,6.064421497866207,11,-4.935578502133793,4.935578502133793,-0.20037597141385954,-0.10791294425924075,6.156884525020826
2021,4,Florida State,Louisville,5.6381515807581835,-8,13.638151580758183,13.638151580758183,-0.6164033749644338,-0.09767043070179149,6.156884525020826
2021,4,Michigan,Rutgers,6.211762762995196,7,-0.7882372370048039,0.7882372370048039,-0.02676908252413193,-0.08164732049850211,6.156884525020826
2021,4,Arkansas,Texas A&M,-0.16951589146635976,10,-10.169515891466359,10.169515891466359,-0.3206532110897453,-0.15113731962338556,6.156884525020826
2021,4,Iowa,Colorado State,6.3582772891469945,10,-3.6417227108530055,3.6417227108530055,-0.2958378379634003,-0.4972306020895691,6.156884525020826
2021,4,Purdue,Illinois,6.496816560295172,4,2.496816560295172,2.496816560295172,-0.07335727132441844,-0.41328930659876484,6.156884525020826
2021,4,Memphis,UTSA,6.2935094213683564,-3,9.293509421368356,9.293509421368356,-0.05553042498782313,-0.19215532133535423,6.156884525020826
2021,4,UConn,Wyoming,5.9148422783122285,-2,7.9148422783122285,7.9148422783122285,-0.2430955384268384,-0.0010532917182416095,6.156884525020826
2021,4,NC State,Clemson,6.512597681069025,6,0.5125976810690247,0.5125976810690247,-0.11394681114083852,-0.4696599671890372,6.156884525020826
2021,4,Maryland,Kent State,6.261465775690746,21,-14.738534224309255,14.738534224309255,-0.10640800970521717,-0.21098926037513696,6.156884525020826
